,"FSE 63330 DW Superia (белый, 3х1, чугун, эл. духовка, LED дисплей, автоподжиг, газ контроль, конвекция)",,"22,500",ПЛИТЫ 60х71
,"FSE 63330 DX Superia (стальной, 3х1, чугун, эл. духовка, LED дисплей, автоподжиг, газ контроль, конвекция)",,"24,700",ПЛИТЫ 60х72
,"FSS 64010 DW (белый, 2х2, эл.духовка, гриль, элподжиг, газконтроль)  ",,"16,800",ПЛИТЫ 60х73
,"FSE 64010 DW (белый, 2х2, эл.духовка, конвекция, газконтроль)",,"18,300",ПЛИТЫ 60х74
,"FSE 64320 DW (белый, 2х2, эл.духовка, конвекция, газ контроль, LED дисплей) ",,"21,400",ПЛИТЫ 60х75
,"FSE 64320 DS (серый, 2х2, эл.духовка, конвекция, газ контроль, LED дисплей) ",,"22,500",ПЛИТЫ 60х76
,"FSS 66000 GW (белый, полностью электрическая,гриль)",,"17,400",ПЛИТЫ 60х77
,"CSS 67000 GW (белый,стеклокерамика,  полностью электрическая)",,"20,700",ПЛИТЫ 60х78
,"GE 12121 DX (цв.стальной, 4 газ.конф.+2 электр. ,эл.духовка, газконтроль, конвекция)",,"46,000",ПЛИТЫ 60х60
,"GM 15310 DB  (цв.черный, 4 газ.конф.+1 электр. ,эл.духовка, газконтроль, конвекция, дисплей)",,"48,400",ПЛИТЫ 60х61
,"BIC 22000 X (электрическая, стальной)",,"13,800",ПЛИТЫ 60х60
,"BIC 22100 X (электр, стальной, механический таймер)",,"16,300",ПЛИТЫ 60х61
,"BIE 22101 X Superia (электр, цв. стальной, конвекция, механ упр. 56.7x59.4x59.5) ",,"18,500",ПЛИТЫ 60х62
,"BIE 24301 W Superia (электр., цв.белый, конвекция, дисплей)",,"21,600",ПЛИТЫ 60х63
,"BIE 22301 X Superia (электр., цв.стальной, сенсорный дисплей, 8 программ,  гриль,конвекция, 71 л) ",,"18,000",ПЛИТЫ 60х64
,"BIE 24301 B Superia (электр, цв. черный, конвекция, дисплей)",,"19,300",ПЛИТЫ 60х65
,"BIM 24400 BCS Superia (электр, цв. черный, 59x56x55 см, конвекция, дисплей)",,"28,800",ПЛИТЫ 60х66
,"BIM 24400 WCS Superia (электр, цв. белый, 59x56x55 см, конвекция, дисплей)",,"29,400",ПЛИТЫ 60х67
,"BIM 25402 XMS Superia (электр, цв. черный, конвекция)",,"29,500",ПЛИТЫ 60х68
,"BIMF 25400 XMS  (электр, цв. черный, конвекция, гриль, 12 режимов нагрева, lcd дисплей)",,"32,400",ПЛИТЫ 60х69
,"BIMM 35400 XMS (электр, цв. черный, конвекция, гриль, 13 режимов нагрева, lcd дисплей)",,"39,100",ПЛИТЫ 60х70
,"OIG 22100 X (газовая,стальной, 59.5 х 59.5 x 56.7, таймер звуковой)",,"26,500",ПЛИТЫ 60х71
,"BMF 26 BK (цв.белый,  31х50х50 см, 26л, 2функции, 220-240вт)",,"7,200",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"BSUF 4000 MES (цв.черный, 29,5х60,0х55,5 (см), 6 функций, 40л)",,"8,000",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"BSUF 4000 MEI (цв. нерж.сталь,  29,5х60,0х55,5 (см), 6 функций, 40л)",,"8,500",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"BSUF 4000 MEB (цв. нерж.сталь / белый,  29,5х60,0х55,5 (см), 6 функций, 40л)",,"8,000",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"BSUF 5000 MGSI (цв. нерж.сталь,  35,5х60,0х55,5 (см), 6 функций, 50л)",,"10,200",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"HILW 64122 SW (белая керамика, 4 газ, вок конфорка, автоподжиг, газ контроль)",,"12,100",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"HIMW 75225 SX (стальной, 56х49, 5 газ.конф., эл.поджиг, решетки чугун)",,"16,700",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"HIZM 64120 SX (стальной, 3х1, 8,7х56х49 см, эл.поджиг, газ контроль)",,"7,700",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"HIZM 64120 SW (белый, 3х1, 8,7х56х49 см, эл.поджиг, газ контроль)",,"8,000",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"HIZM 64121 SX (стальной, 2х2, 8.5x58x51см, эл.поджиг, газ контроль)",,"8,200",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"HDCC 32200 X (цв.черный, домино, электр.конф - 2)",,"9,900",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"HDCE 32200 X (цв.стальной, домино, электр.конф - 2)",,"5,600",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"HILG 64222 S (цв.черный, 4 газ.конф)",,"9,800",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
,"HILG 64225 S (цв.черный, 4 газ.конф)",,"12,100",ДУХОВКИ ОТДЕЛЬНОСТОЯЩИЕ
